State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Manipur,Imphal West,51055.0,16899.205,2705.915,46970.6,85746.0,26152.53,3772.824,82916.382
Manipur,Imphal East,64421.0,23449.244,2963.366,58558.689000000006,46520.0,14653.8,1488.64,44426.6
Manipur,Ukhrul,36084.0,25403.136000000002,1876.3680000000002,29011.536,5806.0,3274.584,243.852,5579.566
Manipur,Chandel,30377.0,17740.168,1245.4569999999999,23420.666999999998,3783.0,1539.681,590.1479999999999,3665.7270000000003
Mizoram,Mamit,16726.0,8312.822,986.8340000000001,13899.305999999999,4129.0,883.6059999999999,41.29,4075.323
Mizoram,Kolasib,9669.0,4554.099,212.71800000000002,9253.233,12507.0,4815.195,300.168,12081.761999999999
Mizoram,Aizawl,20570.0,7117.22,349.69,20035.180000000004,80341.0,13336.606000000002,562.387,79778.613
Mizoram,Champhai,18395.0,8866.39,882.96,17456.855,12717.0,5646.347999999999,190.755,12386.358
Mizoram,Serchhip,7472.0,3885.44,463.264,7203.008000000001,8018.0,3736.388,769.7280000000001,7969.892000000001
Mizoram,Lunglei,21479.0,10696.542,837.6809999999999,17290.595,17315.0,4640.42,138.52,16830.18
Mizoram,Lawngtlai,21993.0,10930.521,1143.636,13305.765,5273.0,1824.458,84.36800000000001,5183.3589999999995
Mizoram,Saiha,7043.0,2281.932,366.236,6127.41,5784.0,1660.0079999999998,133.03199999999998,5645.184
Tripura,West Tripura,289621.0,119903.094,11584.84,246757.092,217016.0,69879.152,7812.576,212892.69599999997
Tripura,South Tripura,219171.0,94024.359,9862.695,181035.24599999998,44906.0,12304.243999999999,1616.616,44007.88
Tripura,Dhalai,89457.0,42492.075,6440.904,59399.448000000004,14071.0,5628.4,1266.39,13564.444000000001
Tripura,North Tripura,150437.0,72811.508,12486.271,122606.155,42184.0,14511.295999999998,2995.064,40918.48
Meghalaya,West Garo Hills,139351.0,68281.99,7664.305,78454.613,18594.0,6340.554,1171.422,17459.766
Meghalaya,East Garo Hills,62698.0,30659.321999999996,2257.128,49719.513999999996,11518.0,4872.114,138.216,11137.906
Meghalaya,South Garo Hills,35930.0,18396.16,1437.2,22779.62,3713.0,1555.7469999999998,100.251,3245.1620000000003
Meghalaya,West Khasi Hills,74832.0,41980.752,6884.543999999999,30531.455999999995,12299.0,5755.932,565.7539999999999,11130.595
Meghalaya,Ribhoi,57988.0,31255.531999999996,3421.292,37170.308,5736.0,1955.976,177.81600000000003,5242.704000000001
Meghalaya,East Khasi Hills,106248.0,56205.192,9881.064,47067.863999999994,108843.0,25578.105,2285.703,105468.86700000001
Meghalaya,Jaintia Hills,76546.0,35517.344,6429.8640000000005,33374.056000000004,7171.0,1003.94,150.591,6891.331
Assam,Kokrajhar,204896.0,112692.8,26636.48,51019.10399999999,17115.0,4244.52,804.405,15420.615
Assam,Dhubri,460602.0,295706.484,81065.952,179634.78,60417.0,24045.965999999997,7370.873999999999,48394.01699999999
Assam,Goalpara,228610.0,138080.44,28804.86,141966.81,39504.0,18329.856,3160.32,33578.4
Assam,Barpeta,447189.0,282623.44800000003,84071.532,312137.922,52192.0,17640.895999999997,3862.2080000000005,48434.176
